job_title,company_name,company_linkedin,job_location,date_posted,employment_type,employment_level,salary
Data Analyst,Gerdau North America,https://www.linkedin.com/company/gerdau-north-america?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-16,Full-time,Entry level,N/A
Data Analyst,Citi,https://www.linkedin.com/company/citi?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-10,Full-time,N/A,"$76,560-$106,840"
Data Analyst,Insight Global,https://www.linkedin.com/company/insight-global?trk=public_jobs_jserp-result_job-search-card-subtitle,"Clearwater, FL",2026-04-23,Contract,Mid-Senior level,N/A
Data Analyst,TEKsystems,https://www.linkedin.com/company/teksystems?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-22,Full-time,Entry level,$28/hr
Data Analyst,TEKsystems,https://www.linkedin.com/company/teksystems?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-23,Full-time,Entry level,$28/hr
Data Analyst,Fintech,https://www.linkedin.com/company/fintech-net?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-14,Full-time,Mid-Senior level,N/A
Data Analytics Associate,Baker Tilly US,https://www.linkedin.com/company/bakertillyus?trk=public_jobs_jserp-result_job-search-card-subtitle,Greater Tampa Bay Area,2026-04-23,Full-time,Entry level,N/A
Lead Analysts,Kforce Inc,https://www.linkedin.com/company/kforce?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-21,Contract,Associate,$90/hr
Data Analyst,General Dynamics Information Technology,https://www.linkedin.com/company/gdit?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-18,Full-time,Mid-Senior level,"$89,250-$120,750"
Jr Data Analyst - Tampa 1001215,Jobs via Dice,https://www.linkedin.com/company/jobs-via-dice?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-23,Full-time,Mid-Senior level,N/A
"Data Analyst, Data Governance",AmeriLife,https://www.linkedin.com/company/amerilife?trk=public_jobs_jserp-result_job-search-card-subtitle,"Clearwater, FL",2026-02-04,Full-time,Mid-Senior level,N/A
Decision Science Analyst,Kobie,https://www.linkedin.com/company/kobie?trk=public_jobs_jserp-result_job-search-card-subtitle,"St. Petersburg, FL",2026-04-22,Full-time,Entry level,N/A
Business Analytics and Recognition Data Analyst,Holland & Knight LLP,https://www.linkedin.com/company/holland-knight-llp?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-17,Full-time,Entry level,N/A
Data Quality Analyst,Raymond James,https://www.linkedin.com/company/raymond-james-financial-inc-?trk=public_jobs_jserp-result_job-search-card-subtitle,"St. Petersburg, FL",2026-04-14,Full-time,Mid-Senior level,N/A
Digital Forensic Analyst I,CGS Federal (Contact Government Services),https://www.linkedin.com/company/contact-government-services-cgs?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-03-12,Full-time,Associate,N/A
Data Driven Insights Analyst - Market Research & Competitive Intelligence,Raymond James,https://www.linkedin.com/company/raymond-james-financial-inc-?trk=public_jobs_jserp-result_job-search-card-subtitle,"St. Petersburg, FL",2026-04-15,Full-time,Mid-Senior level,N/A
Associate Data Engineer (6481),MetroStar,https://www.linkedin.com/company/metrostar-systems?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-22,Full-time,Entry level,"$58,000-$76,000"
Data Engineer (6479),MetroStar,https://www.linkedin.com/company/metrostar-systems?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-22,Full-time,Mid-Senior level,"$92,000-$109,000"
"Associate, BIU",Alvarez & Marsal,https://www.linkedin.com/company/alvarez-&-marsal?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-21,Full-time,Associate,"$80,000-$95,000"
All-Source Analyst – Junior Level,Lucayan Technology Solutions LLC,https://www.linkedin.com/company/lucayan-technology-llc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-01-17,Full-time,Entry level,N/A
"Lead of Data & Analytics, Associate Experience",Raymond James,https://www.linkedin.com/company/raymond-james-financial-inc-?trk=public_jobs_jserp-result_job-search-card-subtitle,"St. Petersburg, FL",2026-04-04,Full-time,Mid-Senior level,N/A
Global Marketing Data & Analytics Analyst,Fisher Investments,https://www.linkedin.com/company/fisher-investments?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-03-17,Full-time,Mid-Senior level,N/A
IAE Data Analyst Intern - Summer 2026,University of South Florida,https://www.linkedin.com/school/usouthflorida/?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-03-11,Part-time,Internship,$18.50/hour
Online Data Analyst,TELUS Digital AI Data Solutions,https://www.linkedin.com/company/telusdigitalaidatasolutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-01,Contract,Entry level,N/A
Product Analyst,Slide,https://www.linkedin.com/company/slideinsurance?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-02,Full-time,Entry level,N/A
Clinical Data Analyst Translational AI in Oncology,Moffitt Cancer Center,https://www.linkedin.com/company/moffittcancercenter?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2025-10-30,Full-time,Mid-Senior level,N/A
Data Engineer,Intrepid Prosperity,https://www.linkedin.com/company/intrepid-prosperity?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-09,Full-time,Mid-Senior level,N/A
Global Marketing Data & Analytics Analyst,myGwork - LGBTQ+ Business Community,https://uk.linkedin.com/company/mygwork?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-03-11,Full-time,Mid-Senior level,N/A
Data Engineer,Silverthorne Advisory Group,https://www.linkedin.com/company/silverthorne?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-20,Full-time,Mid-Senior level,N/A
SQL Programmer,Focus School Software,https://www.linkedin.com/company/focus-school-software?trk=public_jobs_jserp-result_job-search-card-subtitle,"St. Petersburg, FL",2025-10-08,Internship,Mid-Senior level,N/A
Data Engineer,CGS Federal (Contact Government Services),https://www.linkedin.com/company/contact-government-services-cgs?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-03-12,Full-time,N/A,N/A
Data Quality Analytics and Reporting Senior Analyst,Citi,https://www.linkedin.com/company/citi?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-16,Full-time,N/A,"$107,500-$107,500"
SAP Senior Data Analyst,Kforce Inc,https://www.linkedin.com/company/kforce?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-15,Contract,Associate,N/A
Data Engineer,Slide,https://www.linkedin.com/company/slideinsurance?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-03-30,Full-time,Mid-Senior level,N/A
Program Data Science Analyst,AEVEX,https://www.linkedin.com/company/aevex-aerospace?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-02-19,Full-time,Mid-Senior level,N/A
Data Engineer (Tampa),TECO Peoples Gas,https://www.linkedin.com/company/teco-peoples-gas?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-17,Full-time,Mid-Senior level,N/A
Online Data Analyst,TELUS Digital AI Data Solutions,https://www.linkedin.com/company/telusdigitalaidatasolutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Clearwater, FL",2026-04-01,Contract,Entry level,N/A
RCM Analyst,"ROM Technologies, Inc.",https://www.linkedin.com/company/romtechnologies?trk=public_jobs_jserp-result_job-search-card-subtitle,"Clearwater, FL",2026-04-20,Full-time,Entry level,N/A
Data Engineer - AI/ML,Fintech,https://www.linkedin.com/company/fintech-net?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-10,Full-time,Mid-Senior level,N/A
Online Data Analyst,TELUS Digital AI Data Solutions,https://www.linkedin.com/company/telusdigitalaidatasolutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"St. Petersburg, FL",2026-04-01,Contract,Entry level,N/A
Data Engineer,General Dynamics Information Technology,https://www.linkedin.com/company/gdit?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-17,Full-time,Mid-Senior level,"$89,250-$120,750"
Data Engineer,General Dynamics Information Technology,https://www.linkedin.com/company/gdit?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-12,Full-time,Mid-Senior level,"$97,750-$132,250"
Data Quality Analyst Lead (Remote Opportunity),VetsEZ,https://www.linkedin.com/company/vetsez?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-09,Full-time,Director,N/A
Busn Intelligence Analyst Sr,TECO Peoples Gas,https://www.linkedin.com/company/teco-peoples-gas?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-22,Full-time,Mid-Senior level,N/A
Senior Associate - Healthcare Analytics,BRG,https://www.linkedin.com/company/berkeley-research-group-llc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-21,Full-time,Entry level,"$70,000-$90,000"
Lead Intelligence Analyst,Redhorse Corporation,https://www.linkedin.com/company/redhorse-corporation?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-14,Full-time,Mid-Senior level,N/A
Data Specialist/Systems Integration Analyst,"Geographic Solutions, Inc.",https://www.linkedin.com/company/geographic-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Palm Harbor, FL",2026-04-10,Full-time,Entry level,N/A
Database Developer,Belatrix Software,https://www.linkedin.com/company/belatrix-software?trk=public_jobs_jserp-result_job-search-card-subtitle,"Brandon, FL",2026-04-16,Full-time,Mid-Senior level,N/A
Jr Data Engineer-TS cleared,BlueWater Federal Solutions,https://www.linkedin.com/company/bluewater-federal-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-15,Full-time,Associate,N/A
Data Specialist/Systems Integration Analyst,ID Projetos Educacionais,https://br.linkedin.com/company/idprojetoseducacionais?trk=public_jobs_jserp-result_job-search-card-subtitle,"Palm Harbor, FL",2026-01-15,Full-time,Entry level,N/A
Data Engineer,Paychex,https://www.linkedin.com/company/paychex?trk=public_jobs_jserp-result_job-search-card-subtitle,"St. Petersburg, FL",2026-04-17,Full-time,N/A,"$99,600-156,500"
Open-Source Researcher,"JTG, inc.",https://www.linkedin.com/company/jtg-inc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2025-10-15,Full-time,Entry level,N/A
Mid All Source Analyst,Prescient Edge,https://www.linkedin.com/company/prescient-edge-corp?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2025-05-13,Full-time,Mid-Senior level,N/A
Trauma Data Abstractor,HCA Healthcare,https://www.linkedin.com/company/hca?trk=public_jobs_jserp-result_job-search-card-subtitle,"Trinity, FL",2026-04-16,Full-time,Entry level,N/A
Service Optimization & Customer Insights Analyst,Deloitte,https://www.linkedin.com/company/deloitte?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-22,Full-time,Entry level,N/A
Associate Data Engineer,Baker Tilly US,https://www.linkedin.com/company/bakertillyus?trk=public_jobs_jserp-result_job-search-card-subtitle,Greater Tampa Bay Area,2026-04-03,Full-time,Mid-Senior level,N/A
Sr. Data Scientist I (6477),MetroStar,https://www.linkedin.com/company/metrostar-systems?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL",2026-04-22,Full-time,Mid-Senior level,"$138,000-$184,000"
